prosthetics-hero	Prosthetics Hero	Hero	hero	hero	true		https://stream.mux.com/ZbJ6QKnC012pbyMayZL5A00Le8Xx4UGCDk007lprB2LAb4.m3u8
pulse-3d	Pulse 3D	3D Website	hero	hero	false		https://stream.mux.com/8nPqkRyCqB5VW8Be3BW2Xe4d1J3SLT5OVjwjq4Q00SMY.m3u8
radial-diagram	Radial Diagram	Testimonials	testimonials	hero	true		https://stream.mux.com/W3vt73qPAu4nfaVYJy3q5ODChvlqhx01Y2GZW9U2dj5c.m3u8
retro-futurist	Retro-Futurist	Hero	hero	hero	true		https://stream.mux.com/8v3ptTfh02ifW501AE0101Oc9likenmSljCmutT2xXSEzEk.m3u8
rocket-cta	Rocket CTA	CTA	cta	hero	true		https://stream.mux.com/GNyoxs6YoQP8AssmX6IdYAr3vupxwvlHnwt7iuwsLEw.m3u8
rocket-faq	Rocket FAQ	FAQ	faq	hero	false		https://stream.mux.com/3st3sdTlYF9eOIkj8RPSTc4pfUH9wMnHDAQTUXiENKs.m3u8
rocket-pricing	Rocket Pricing	Pricing	pricing	hero	true		https://stream.mux.com/qQU6HyNcNLS00JOZHxMKkJGql3yBPSXipDZT5UT8WeXs.m3u8
saas-pricing-flow	SaaS Pricing Flow	Pricing	hero	hero	false		https://stream.mux.com/M3OFzqYDiRkLqi0201Y6i3fJFxF8GQ0000PSf2amO02BQzHY.m3u8
scroll-landing	Scroll Landing Page	Interactive	hero	hero	false		https://stream.mux.com/QDrrVBt5kubevo3zVWgncIEn02hXQmkaNooo6X02xQsr8.m3u8
scroll-marquee	Scroll Marquee	Marquee	carousel	hero	false		https://stream.mux.com/DZr9hzj8caYAdSXETCpc7YFaOcAYAxoKo3T5q2ni9rk.m3u8
shop	Daisy Shop	Ecommerce	hero	landing	false		https://stream.mux.com/imC5vQh9WbYUhhreIFOOONfNBnQI8AZznRfgZw8p2fA.m3u8
solace-sign-in	Solace sign-in	Sign In Form	form	hero	false		https://stream.mux.com/hfgx8AtzCEX01tAvDZi6vijW2eS019007Y53laKVk81VzU.m3u8
speakup-venture-hero	SpeakUp Venture Hero	Hero	hero	hero	false		https://stream.mux.com/a6HPc2D4wiAmo1102yX8WVFt01gzGYkOG1vPVysYykdao.m3u8
stark-minimal-footer	Stark Minimal Footer	Footer	footer	hero	true		https://stream.mux.com/LQEyNrngPU47bPax9kHJIUjlwjXVatHuEImFQvnWTc00.m3u8
stellar-launch	Stellar Launch	Landing Page	hero	landing	false		https://stream.mux.com/colrEaZg99fRXdz00ipw8IV01PLBPPtRSSl413Ec8ABO4.m3u8
tech-noir-about	Tech-Noir About	About	about	hero	true		https://stream.mux.com/BeixYhSog1aOUtAnUpyQM839BIkat36dO5Qsbov44rM.m3u8
technical-specifications	Technical Specifications	Tabs	features	hero	false		https://stream.mux.com/4iP8icwjlYxH9bmU8HRdIh900ZWA00v3UIQ02sxeObCdVA.m3u8
travel-hero	Scenic Travel	Landing Page	hero	landing	false		https://stream.mux.com/3QkcYg2hvLpZp8hVTED5gFBeXQaFLOEzChkYnqSOwCU.m3u8
vaultshield	VaultShield	Hero	hero	hero	true		https://stream.mux.com/802ps1LP2vYwpJjPj9DLdbaOAwDTG4UkLgPJOVZaR8N4.m3u8
